frame_id,timestamp_ns,load_ms,undistort_ms,detect_ms,describe_ms,stereo_ms,stereo_retrack_ms,track_ms,preint_ms,optimize_ms,total_ms,n_features,n_stereo,n_stereo_retracked,n_tracked,n_landmarks_init,n_landmarks
103,1403715278412143104,0.000,0.233,0.000,0.000,0.000,0.000,0.340,0.000,0.000,0.631,0,0,0,306,0,0
104,1403715278462142976,0.000,0.252,0.000,0.000,0.000,0.000,0.365,0.000,0.000,0.696,0,0,0,306,0,0
105,1403715278512143104,0.000,0.229,0.000,0.000,0.000,0.000,0.335,0.000,0.000,0.618,0,0,0,306,0,0
106,1403715278562142976,0.000,0.233,0.000,0.000,0.000,0.000,0.362,0.000,0.000,0.650,0,0,0,306,0,0
107,1403715278612143104,0.000,0.250,0.976,0.361,0.007,0.000,0.415,0.000,161.999,247.005,9,6,110,298,246,246
108,1403715278662142976,0.000,0.262,0.000,0.000,0.000,0.000,0.508,0.000,0.000,0.910,0,0,0,302,0,0
109,1403715278712143104,0.000,0.247,0.000,0.000,0.000,0.000,0.358,0.000,0.000,0.667,0,0,0,299,0,0
110,1403715278762142976,0.000,0.250,0.915,0.372,0.015,0.000,0.462,0.000,32.324,54.435,20,8,106,282,262,262
111,1403715278812143104,0.000,0.255,0.000,0.000,0.000,0.000,0.349,0.000,0.000,0.675,0,0,0,299,0,0
112,1403715278862142976,0.000,0.242,0.944,0.378,0.008,0.000,0.445,0.000,51.719,98.559,16,5,103,292,279,279
113,1403715278912143104,0.000,0.259,0.000,0.000,0.000,0.000,0.579,0.000,0.000,0.934,0,0,0,298,0,0
114,1403715278962142976,0.000,0.229,0.000,0.000,0.000,0.000,0.361,0.000,0.000,0.671,0,0,0,286,0,0
115,1403715279012143104,0.000,0.252,0.000,0.000,0.000,0.000,0.451,0.000,0.000,0.783,0,0,0,284,0,0
116,1403715279062142976,0.000,0.327,0.000,0.000,0.000,0.000,0.398,0.000,0.000,0.814,0,0,0,275,0,0
117,1403715279112143104,0.000,0.301,0.000,0.000,0.000,0.000,0.501,0.000,0.000,0.883,0,0,0,275,0,0
118,1403715279162142976,0.000,0.273,0.000,0.000,0.000,0.000,0.377,0.000,0.000,0.743,0,0,0,275,0,0
119,1403715279212143104,0.000,0.376,0.000,0.000,0.000,0.000,0.391,0.000,0.000,0.859,0,0,0,274,0,0
120,1403715279262142976,0.000,0.271,0.000,0.000,0.000,0.000,0.445,0.000,0.000,0.935,0,0,0,274,0,0
121,1403715279312143104,0.000,0.331,0.000,0.000,0.000,0.000,0.398,0.000,0.000,0.821,0,0,0,274,0,0
122,1403715279362142976,0.000,0.291,0.900,0.376,0.010,0.000,0.437,0.000,51.444,83.922,20,8,86,273,294,294
123,1403715279412143104,0.000,0.291,0.000,0.000,0.000,0.000,0.481,0.000,0.000,0.848,0,0,0,293,0,0
124,1403715279462142976,0.000,0.268,0.000,0.000,0.000,0.000,0.353,0.000,0.000,0.680,0,0,0,293,0,0
125,1403715279512143104,0.000,0.260,0.000,0.000,0.000,0.000,0.346,0.000,0.000,0.675,0,0,0,291,0,0
126,1403715279562142976,0.000,0.271,0.000,0.000,0.000,0.000,0.398,0.000,0.000,0.741,0,0,0,291,0,0
127,1403715279612143104,0.000,0.238,0.000,0.000,0.000,0.000,0.319,0.000,0.000,0.620,0,0,0,291,0,0
128,1403715279662142976,0.000,0.239,0.000,0.000,0.000,0.000,0.526,0.000,0.000,0.848,0,0,0,291,0,0
129,1403715279712143104,0.000,0.339,0.000,0.000,0.000,0.000,0.519,0.000,0.000,1.088,0,0,0,290,0,0
130,1403715279762142976,0.000,0.254,0.000,0.000,0.000,0.000,0.344,0.000,0.000,0.687,0,0,0,290,0,0
131,1403715279812143104,0.000,0.296,0.000,0.000,0.000,0.000,0.419,0.000,0.000,0.780,0,0,0,288,0,0
132,1403715279862142976,0.000,0.241,0.874,0.361,0.006,0.000,0.330,0.000,49.613,81.786,11,6,86,287,310,310
133,1403715279912143104,0.000,0.260,0.000,0.000,0.000,0.000,0.362,0.000,0.000,0.696,0,0,0,298,0,0
134,1403715279962142976,0.000,0.239,0.000,0.000,0.000,0.000,0.322,0.000,0.000,0.627,0,0,0,298,0,0
135,1403715280012143104,0.000,0.269,0.000,0.000,0.000,0.000,0.353,0.000,0.000,0.702,0,0,0,298,0,0
136,1403715280062142976,0.000,0.242,0.000,0.000,0.000,0.000,0.344,0.000,0.000,0.641,0,0,0,298,0,0
137,1403715280112143104,0.000,0.262,0.869,0.377,0.004,0.000,0.349,0.000,69.624,103.729,5,2,100,296,319,319
138,1403715280162142976,0.000,0.294,0.000,0.000,0.000,0.000,0.684,0.000,0.000,1.229,0,0,0,301,0,0
139,1403715280212143104,0.000,0.455,0.000,0.000,0.000,0.000,0.529,0.000,0.000,1.124,0,0,0,301,0,0
140,1403715280262142976,0.000,0.401,0.000,0.000,0.000,0.000,0.522,0.000,0.000,1.057,0,0,0,301,0,0
141,1403715280312143104,0.000,0.437,0.000,0.000,0.000,0.000,0.809,0.000,0.000,1.361,0,0,0,300,0,0
142,1403715280362142976,0.000,0.562,0.000,0.000,0.000,0.000,0.646,0.000,0.000,1.326,0,0,0,298,0,0
143,1403715280412143104,0.000,0.482,0.944,0.410,0.005,0.000,0.700,0.000,73.270,105.385,6,3,101,295,333,333
144,1403715280462142976,0.000,0.270,0.000,0.000,0.000,0.000,0.359,0.000,0.000,0.703,0,0,0,299,0,0
145,1403715280512143104,0.000,0.254,0.000,0.000,0.000,0.000,0.371,0.000,0.000,0.680,0,0,0,295,0,0
146,1403715280562142976,0.000,0.249,0.836,0.351,0.031,0.000,0.374,0.000,41.418,118.911,70,40,55,205,375,375
147,1403715280612143104,0.000,0.273,0.000,0.000,0.000,0.000,0.356,0.000,0.000,0.718,0,0,0,270,0,0
148,1403715280662142976,0.000,0.296,0.786,0.372,0.006,0.000,0.429,0.000,133.162,141.485,14,3,94,266,390,390
149,1403715280712143104,0.000,0.245,0.000,0.000,0.000,0.000,0.371,0.000,0.000,0.711,0,0,0,261,0,0
150,1403715280762142976,0.000,0.330,0.799,0.370,0.011,0.000,0.400,0.000,98.521,107.043,24,9,81,253,411,411
151,1403715280812143104,0.000,0.350,0.000,0.000,0.000,0.000,0.402,0.000,0.000,0.848,0,0,0,270,0,0
152,1403715280862142976,0.000,0.233,0.735,0.325,0.025,0.000,0.399,0.000,65.128,73.102,72,39,46,180,457,457
153,1403715280912143104,0.000,0.244,0.000,0.000,0.000,0.000,0.339,0.000,0.000,0.660,0,0,0,249,0,0
154,1403715280962142976,0.000,0.239,0.732,0.385,0.009,0.000,0.378,0.000,65.374,73.884,16,6,78,248,489,489
155,1403715281012143104,0.000,0.277,0.000,0.000,0.000,0.000,0.361,0.000,0.000,0.711,0,0,0,240,0,0
156,1403715281062142976,0.000,0.261,0.000,0.000,0.000,0.000,0.323,0.000,0.000,0.642,0,0,0,237,0,0
157,1403715281112143104,0.000,0.237,0.000,0.000,0.000,0.000,0.279,0.000,0.000,0.568,0,0,0,236,0,0
158,1403715281162142976,0.000,0.240,0.758,0.371,0.012,0.000,0.306,0.000,67.287,75.722,30,13,75,234,511,511
159,1403715281212143104,0.000,0.252,0.000,0.000,0.000,0.000,0.349,0.000,0.000,0.682,0,0,0,264,0,0
160,1403715281262142976,0.000,0.279,0.000,0.000,0.000,0.000,0.405,0.000,0.000,0.769,0,0,0,263,0,0
161,1403715281312143104,0.000,0.235,0.745,0.362,0.011,0.000,0.320,0.000,48.026,56.372,11,2,85,263,522,522
162,1403715281362142976,0.000,0.244,0.000,0.000,0.000,0.000,0.339,0.000,0.000,0.665,0,0,0,273,0,0
163,1403715281412143104,0.000,0.247,0.000,0.000,0.000,0.000,0.318,0.000,0.000,0.621,0,0,0,273,0,0
164,1403715281462142976,0.000,0.216,0.779,0.398,0.005,0.000,0.312,0.000,135.404,144.584,3,2,90,273,533,533
165,1403715281512143104,0.000,0.269,0.000,0.000,0.000,0.000,0.379,0.000,0.000,0.728,0,0,0,275,0,0
166,1403715281562142976,0.000,0.250,0.770,0.390,0.005,0.000,0.320,0.000,74.504,83.424,4,2,80,275,543,543
167,1403715281612143104,0.000,0.259,0.000,0.000,0.000,0.000,0.349,0.000,0.000,0.684,0,0,0,279,0,0
168,1403715281662142976,0.000,0.286,0.749,0.367,0.008,0.000,0.539,0.000,69.518,78.687,10,4,86,273,555,555
169,1403715281712143104,0.000,0.258,0.000,0.000,0.000,0.000,0.439,0.000,0.000,0.780,0,0,0,281,0,0
170,1403715281762142976,0.000,0.289,0.749,0.395,0.007,0.000,0.330,0.000,64.975,74.114,13,5,78,278,569,569
171,1403715281812143104,0.000,0.260,0.000,0.000,0.000,0.000,0.417,0.000,0.000,0.753,0,0,0,288,0,0
172,1403715281862142976,0.000,0.248,0.760,0.385,0.008,0.000,0.335,0.000,74.721,83.805,17,4,76,283,580,580
173,1403715281912143104,0.000,0.271,0.000,0.000,0.000,0.000,0.367,0.000,0.000,0.733,0,0,0,297,0,0
174,1403715281962142976,0.000,0.237,0.758,0.385,0.010,0.000,0.404,0.000,82.352,91.598,15,5,73,290,592,592
175,1403715282012143104,0.000,0.346,0.000,0.000,0.000,0.000,0.391,0.000,0.000,0.826,0,0,0,301,0,0
176,1403715282062142976,0.000,0.238,0.810,0.378,0.023,0.000,0.413,0.000,35.309,40.109,39,23,87,277,623,623
177,1403715282112143104,0.000,0.241,0.000,0.000,0.000,0.000,0.354,0.000,0.000,0.668,0,0,0,309,0,0
178,1403715282162142976,0.000,0.231,0.855,0.402,0.014,0.000,0.350,0.000,39.767,49.271,22,11,101,300,653,653
179,1403715282212143104,0.000,0.260,0.000,0.000,0.000,0.000,0.425,0.000,0.000,0.764,0,0,0,293,0,0
180,1403715282262142976,0.000,0.245,0.899,0.378,0.026,0.000,0.348,0.000,70.110,80.034,51,25,99,288,693,693
181,1403715282312143104,0.000,0.274,0.000,0.000,0.000,0.000,0.366,0.000,0.000,0.717,0,0,0,335,0,0
182,1403715282362142976,0.000,0.246,0.986,0.418,0.029,0.000,0.392,0.000,123.153,129.447,52,36,119,319,744,744
183,1403715282412143104,0.000,0.267,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.756,0,0,0,371,0,0
184,1403715282462142976,0.000,0.235,1.043,0.432,0.016,0.000,0.369,0.000,43.607,54.301,33,13,147,370,774,774
185,1403715282512143104,0.000,0.247,0.000,0.000,0.000,0.000,0.368,0.000,0.000,0.688,0,0,0,400,0,0
186,1403715282562142976,0.000,0.241,1.032,0.431,0.013,0.000,0.405,0.000,55.412,67.024,27,10,152,400,797,797
187,1403715282612143104,0.000,0.243,0.000,0.000,0.000,0.000,0.375,0.000,0.000,0.704,0,0,0,425,0,0
188,1403715282662142976,0.000,0.252,1.110,0.432,0.018,0.000,0.406,0.000,104.774,116.402,24,12,151,423,824,824
189,1403715282712143104,0.000,0.353,0.000,0.000,0.000,0.000,0.517,0.000,0.000,0.977,0,0,0,444,0,0
190,1403715282762142976,0.000,0.251,1.170,0.444,0.018,0.000,0.415,0.000,58.133,69.739,36,19,165,441,856,856
191,1403715282812143104,0.000,0.246,0.000,0.000,0.000,0.000,0.410,0.000,0.000,0.737,0,0,0,471,0,0
192,1403715282862142976,0.000,0.242,1.193,0.447,0.019,0.000,0.390,0.000,77.542,90.470,44,21,173,468,891,891
193,1403715282912143104,0.000,0.223,0.000,0.000,0.000,0.000,0.418,0.000,0.000,0.719,0,0,0,508,0,0
194,1403715282962142976,0.000,0.238,1.238,0.472,0.023,0.000,0.405,0.000,72.101,85.167,38,19,177,500,928,928
195,1403715283012143104,0.000,0.257,0.000,0.000,0.000,0.000,0.429,0.000,0.000,0.771,0,0,0,524,0,0
196,1403715283062142976,0.000,0.269,1.218,0.485,0.020,0.000,0.476,0.000,106.600,119.669,35,16,198,500,962,962
197,1403715283112143104,0.000,0.252,0.000,0.000,0.000,0.000,0.505,0.000,0.000,0.836,0,0,0,531,0,0
198,1403715283162142976,0.000,0.276,1.276,0.478,0.024,0.000,0.478,0.000,74.559,87.977,34,14,215,530,998,998
199,1403715283212143104,0.000,0.255,0.000,0.000,0.000,0.000,0.420,0.000,0.000,0.761,0,0,0,561,0,0
200,1403715283262142976,0.000,0.237,1.315,0.502,0.027,0.000,0.550,0.000,128.791,143.273,47,22,210,556,1031,1031
201,1403715283312143104,0.000,0.243,0.000,0.000,0.000,0.000,0.437,0.000,0.000,0.769,0,0,0,601,0,0
202,1403715283362142976,0.000,0.260,1.318,0.540,0.026,0.000,0.452,0.000,79.915,94.976,48,17,207,599,1060,1060
203,1403715283412143104,0.000,0.279,0.000,0.000,0.000,0.000,0.498,0.000,0.000,0.855,0,0,0,641,0,0
204,1403715283462142976,0.000,0.249,1.414,0.530,0.029,0.000,0.486,0.000,115.510,130.864,47,16,213,638,1101,1101
205,1403715283512143104,0.000,0.254,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.843,0,0,0,683,0,0
206,1403715283562142976,0.000,0.244,1.415,0.578,0.025,0.000,0.476,0.000,139.611,156.038,38,17,216,679,1142,1142
207,1403715283612143104,0.000,0.250,0.000,0.000,0.000,0.000,0.489,0.000,0.000,0.820,0,0,0,712,0,0
208,1403715283662142976,0.000,0.232,1.532,0.560,0.028,0.000,0.487,0.000,87.054,104.890,44,12,212,712,1178,1178
